"ch","s"
"茅","['mwo L']"
"荑","['tyey L']"
"𧀰","['tyey L']"
"蒨","['chyen R']"
"萱","['hwen L']"
"藍","['nam L']"
"葒","['hwong L']"
"稂","['lang L']"
"莠","['Gyu R']"
"稊","['tyey L']"
"稗","['phay R']"
"薸","['phyo L']"
"萍","['phyeng L']"
"藻","['cwo R']"
"蘋","['ping L']"
"梧","['Gyo H']"
"桐","['twong L']"
"楊","['Gyang L']"
"柳","['lyu R']"
"檜","['hwoy R']"
"栢","['poyk H']"
"桂","['kyey R']"
"椿","['chyun L']"
"楓","['phwung L']"
"桑","['sang L']"
"檿","['Gyem R']"
"柘","['cya R']"
"檉","['thoyng L']"
"枳","['ki R']"
"荊","['hyeng L']"
"棘","['kuk H']"
"樗","['tye L']"
"㯃","['chil H']"
"枌","['pwun L']"
"榆","['Gyu L']"
"樺","['hwa R']"
"椵","['ka R']"
"槐","['kwoy L']"
"蘗","['pyek H']"
"楮","['tye R']"
"構","['kwu R']"
"榧","['pi R']"
"槵","['hwan R']"
"槲","['kwok L']"
"栩","['Gwu R']"
"柞","['cak H']"
"櫟","['luk H']"
"櫯","['swo L']"
"松","['syong L']"
"籐","['tung L']"
"梣","['com L']"
"㮋","['Gwuk L']"
"樲","['zi R']"
"梓","['coy R']"
"楸","['chyu L']"
"李","['ni R']"
"㮏","['nay R']"
"桃","['two L']"
"楙","['mwu R']"
"梨","['li L']"
"栗","['lyul H']"
"檎","['kum L']"
"榴","['lyu L']"
"榛","['cin L']"
"棗","['cwo R']"
"櫻","['GoyG L']"
"杏","['hoyng R']"
"芧","['sye R']"
"橡","['syang H']"
"栭","['zi L']"
"梂","['kwu L']"
"榠","['myeng L']"
"樝","['cya R']"
"棠","['tang L']"
"棣","['thyey R']"
"柑","['kam L']"
"柚","['Gyu R']"
"橘","['kyul H']"
"橙","['tung L']"
"椒","['chyo L']"
"㮕","['zyen R']"
"梬","['ping R']"
"杮","['si R']"
"芡","['kam R']"
"䓈","['Gyek H']"
"芰","['ki R']"
"菱","['lung L']"
"葡","['phwo L']"
"萄","['two L']"
"㰋","['pin L']"
"𪳪","['pha L']"
"苺","['moy L']"
"葚","['sim R']"
"枏","['zyem L']"
"菂","['tyek L']"
"麳","['loy L']"
"麰","['mwo L']"
"蕎","['kyo L']"
"麥","['moyk H']"
"𪎭","['mi L']"
"穄","['cyey R']"
"黍","['sye R']"
"稷","['cik H']"
"粳","['kyeng L']"
"糯","['na R']"
"秈","['syen L']"
"秫","['thyul H']"
"稻","['two H']"
"梁","['lyang L']"
"𪐄","['phay R']"
"粟","['swok H']"
"薏","['Guy R']"
"苡","['Gi R']"
"荏","['zim R']"
"𧰏","['pyen L']"
"豌","['Gwan L']"
"豇","['kang L']"
"荳","['twu H']"
"菽","['syuk H']"
"茄","['ka L']"
"苽","['kwa L']"
"葱","['chwong L']"
"蒜","['swen H']"
"韮","['kwu R']"
"薤","['hyey R']"
"蕺","['cup H']"
"荀","['syun R']"
"蔘","['som L']"
"𦬸","['thyul L']"
"藜","['lyey L']"
"莧","['hyen R']"
"䓴","['zyen R']"
"栮","['zi R']"
"蕈","['sim R']"
"菌","['kyun L']"
"䓀","['kil H']"
"莄","['kyeng L']"
"芫","['Gwen L']"
"荽","['syu L']"
"匏","['phwo L']"
"蓼","['lyo R']"
"茴","['hwoy L']"
"芹","['kun L']"
"蘿","['la L']"
"蔔","['pwok H']"
"蔓","['man L']"
"菁","['chyeng L']"
"菘","['syong L']"
"薺","['cyey R']"
"芌","['Gwu R']"
"蓴","['ssyun L']"
"苜","['mwok H']"
"蓿","['syuk H']"
"薯","['sye L']"
"蕷","['Gye R']"
"芥","['kay R']"
"薑","['skaG L']"
"蘑","['ma L']"
"菇","['kwo L']"
"蘘","['Gyang L']"
"蒡","['pang L']"
"萵","['Gwa L']"
"苣","['ke R']"
"蕨","['kwel H']"
"虌","['pyel H']"
"藕","['Gwu R']"
"蘇","['swo L']"
"菠","['pha L']"
"䔖","['lung L']"
"莙","['kwun L']"
"薘","['tal H']"
"𦼫","['ke R']"
"蕒","['moy L']"
"𫉖","['pol H']"
"𫊖","['cyey L']"
"蔢","['pha R']"
"𦽅","['ha R']"
"芣","['pwu L']"
"苢","['Gi R']"
"蔞","['lwu L']"
"葵","['kyu L']"
"葇","['zyu L']"
"萞","['pi L']"
"鳳","['pwong H']"
"凰","['hwang L']"
"鸞","['lan L']"
"鶴","['hak H']"
"鴻","['hwong L']"
"鴈","['Gan R']"
"𦉓","['pwu R']"
"鵠","['kwok H']"
"𪀚","['syong L']"
"鶻","['kwol H']"
"鷹","['Gung H']"
"隼","['cyun R']"
"鵂","['hyu L']"
"鶹","['lyu L']"
"鴞","['hyo L']"
"鵩","['pwok H']"
"鵰","['tyo L']"
"鷲","['chyu R']"
"鸛","['kwan H']"
"𮭁","['mwok H']"
"𪅖","['cwang L']"
"鷸","['hyul H']"
"鵚","['twok H']"
"鶖","['chyu L']"
"𪄉","['Gwong L']"
"𪆂","['ke L']"
"鶺","['chyek H']"
"鴒","['lyeng L']"
"鵓","['pol L']"
"鴿","['hap H']"
"鴷","['lyel H']"
"鳩","['kwu H']"
"鷂","['Gyo R']"
"鸇","['cyen L']"
"鷐","['sin L']"
"𩘲","['phwung L']"
"𩘲","['co L']"
"䳓","['lwo R']"
"鵜","['tyey L']"
"鶘","['hwo L']"
"鷄","['kyey L']"
"雉","['thi R']"
"鵝","['Ga L']"
"鴨","['Gap H']"
"鴡","['cye L']"
"鷗","['kwu L']"
"䧾","['sye L']"
"鳧","['pwu L']"
"鷦","['chyo H']"
"鷯","['lyo L']"
"鶬","['chang L']"
"鶊","['kyeng L']"
"烏","['Gwo L']"
"鴉","['Ga L']"
"鸒","['Gye L']"
"𪆁","['so L']"
"隹","['chyo L']"
"雀","['cyak H']"
"梟","['hyo L']"
"鷁","['Goyk H']"
"鷰","['Gyen R']"
"鳦","['Gul H']"
"鸎","['GoyG L']"
"鸝","['lyey L']"
"鳲","['si L']"
"𪀗","['kwey R']"
"鴶","['Gal H']"
"鵴","['kwuk H']"
"䳺","['Gam L']"
"鶉","['syun L']"
"鳶","['Gyen L']"
"鴟","['chi L']"
