"ch","s"
"神","['sin L']"
"佛","['pwul H']"
"鬼","['kwuy R']"
"魔","['ma L']"
"仙","['syen L']"
"道","['two R']"
"尼","['ni L']"
"僧","['sung L']"
"賔","['ping L']"
"客","['koyk H']"
"覊","['kuy L']"
"旅","['lye R']"
"伴","['pan R']"
"侶","['lye R']"
"友","['Gwu R']"
"朋","['pung H']"
"娼","['chyang L']"
"妓","['ki H']"
"䘕","['hang L']"
"衏","['Gwen R']"
"傀","['kwoy R']"
"儡","['lwoy R']"
"優","['Gwu L']"
"伶","['lyeng L']"
"醫","['Guy L']"
"卜","['pwok H']"
"呪","['chyuk H']"
"儈","['hwoy R']"
"商","['syang L']"
"賈","['kwo R']"
"農","['nwong L']"
"工","['kwong L']"
"巫","['mwu L']"
"覡","['hyek H']"
"媒","['moy L']"
"妁","['cyak H']"
"瞽","['kwo H']"
"瞍","['swu R']"
"盲","['moyng L']"
"矇","['mwong L']"
"東","['twong L']"
"夷","['Gi L']"
"西","['sye L']"
"戎","['zyuG L']"
"南","['nam L']"
"蠻","['man L']"
"北","['puk H']"
"狄","['tyek H']"
"倭","['Gwa L']"
"韃","['tal H']"
"羗","['kang L']"
"虜","['lwo H']"
"刦","['kep H']"
"盜","['two R']"
"寇","['kwu R']"
"賊","['cek H']"
"宮","['kwung L']"
"闕","['kwel H']"
"宸","['sin L']"
"殿","['tyen R']"
"屋","['Gwok H']"
"宅","['thoyk H']"
"家","['ka L']"
"房","['pang L']"
"廳","['thyeng L']"
"廨","['hoy R']"
"廬","['lye L']"
"舍","['sya R']"
"閨","['kyu L']"
"閤","['hap H']"
"室","['sil H']"
"堂","['tang L']"
"樓","['lwu L']"
"閣","['kak H']"
"亭","['tyeng L']"
"臺","['toy L']"
"闈","['Gwuy L']"
"闥","['tal H']"
"廡","['mwu L']"
"廊","['lang L']"
"厦","['ha R']"
"寢","['chim R']"
"埇","['Gyong R']"
"𨹸","['cyo R']"
"𢋿","['coy L']"
"院","['Gwen R']"
"廠","['chyang R']"
"棚","['pung L']"
"軒","['hen L']"
"檻","['ham R']"
"欄","['lan L']"
"楯","['syun R']"
"戶","['hwo R']"
"牖","['Gyu R']"
"䆫","['chang L']"
"欞","['lyeng L']"
"壁","['pyek H']"
"墉","['Gyong L']"
"垣","['Gwen L']"
"墻","['cyang L']"
"桁","['hoyng L']"
"檁","['lum R']"
"簷","['chyem L']"
"甍","['moyng L']"
"溝","['kwu L']"
"渠","['ke']"
"瀆","['twok L']"
"𤅋","['twu H']"
"厠","['chi H']"
"㢏","['thwu L']"
"圂","['hwon R']"
"圊","['chyeng L']"
"牔","['pak H']"
"櫳","['lwong L']"
"梐","['phyey R']"
"枑","['hwo R']"
"陛","['phyey R']"
"墀","['ti L']"
"階","['kyey L']"
"庭","['tyeng L']"
"棟","['twong R']"
"樑","['lyang L']"
"楹","['Gyeng L']"
"柱","['tyu R']"
"梲","['cyel H']"
"椽","['Gyen L']"
"桷","['kak H']"
"榱","['chwoy L']"
"礎","['chwo H']"
"磉","['sang L']"
"礩","['cil H']"
"磶","['syek H']"
"藩","['pen L']"
"柵","['choyk L']"
"笆","['pha L']"
"籬","['li L']"
"門","['mwun L']"
"扉","['pi L']"
"椳","['Gwoy L']"
"樞","['chyu L']"
"扃","['kyeng L']"
"𣟴","['swan L']"
"扊","['Gyem L']"
"扅","['Gi L']"
"𨴑","['kwang L']"
"闑","['Gel H']"
"閫","['kwon R']"
"閾","['Gyek H']"
"橋","['kyo L']"
"梯","['tyey L']"
"矼","['kang L']"
"徛","['kuy L']"
"朝","['tyo L']"
"廷","['tyeng L']"
"京","['kyeng L']"
"都","['two L']"
"邊","['pyen L']"
"鄙","['pi R']"
"寰","['hwan L']"
"畿","['kuy L']"
"部","['pwu H']"
"署","['sye R']"
"曹","['cwo L']"
"局","['kwuk H']"
"官","['kwan L']"
"府","['pwu H']"
"衙","['Ga L']"
"司","['so L']"
"州","['cyu H']"
"郡","['kwun R']"
"縣","['hyen R']"
"邑","['Gup H']"
"衛","['Gwuy H']"
"所","['swo H']"
"營","['Gyeng L']"
"廂","['syang L']"
"邸","['tyey R']"
"店","['tyem H']"
"埠","['pwu R']"
"集","['cip H']"
"街","['kay L']"
"市","['si R']"
"廛","['tyen L']"
"行","['hang L']"
"屯","['twun L']"
"堡","['pwo L']"
"壕","['hwo L']"
"池","['ti L']"
"郛","['pwu L']"
"郭","['kwak H']"
"城","['syeng L']"
"隍","['hwang L']"
"閭","['lye L']"
"閻","['Gyem L']"
"鄰","['lin L']"
"里","['li R']"
"寨","['chay H']"
"墅","['sye R']"
"村","['chwon L']"
"鄕","['hyang L']"
"墩","['twon L']"
"堠","['hwu R']"
"烽","['pwong L']"
"燧","['syu H']"
"舘","['kwan H']"
"驛","['Gyek H']"
"站","['cham']"
"鋪","['phwu H']"
"倉","['chang L']"
"厫","['Gwo L']"
"囤","['twon R']"
"篅","['chyen L']"
"囷","['kyun R']"
"廪","['lum R']"
"帑","['thang R']"
"庫","['kwo L']"
"牢","['lwoy L']"
"獄","['Gwok H']"
"囹","['lyeng L']"
"圄","['Ge R']"
"窨","['Gum L']"
"窩","['Gwa L']"
"穽","['cyeng R']"
"窖","['kyo R']"
"陶","['two L']"
"窰","['Gyo L']"
"囱","['chwong L']"
"堗","['twol R']"
"庖","['phwo L']"
"廚","['tyu L']"
"炕","['kang R']"
"竈","['cwo H']"
"庵","['Gam L']"
"觀","['kwan H']"
"寺","['so R']"
"刹","['chal H']"
"祠","['so L']"
"廟","['myo R']"
"壇","['tan L']"
"壝","['Gyu R']"
"鼎","['tyeng R']"
"鑊","['hwak H']"
"鼐","['nay R']"
"鼒","['co L']"
"釜","['pwu R']"
"鍋","['kwa L']"
"鬵","['sim L']"
"錡","['kuy H']"
"樻","['kwey R']"
"櫝","['twok H']"
"庋","['ki R']"
"机","['kwey R']"
"牀","['sang L']"
"榻","['thap H']"
"凳","['tung R']"
"椅","['Guy R']"
"卓","['thak H']"
"盤","['span L']"
"榼","['hap H']"
"鏊","['Gwo R']"
"簁","['suy L']"
"籮","['la L']"
"甑","['cung R']"
"箅","['pi R']"
"盌","['Gwen R']"
"楪","['tyep H']"
"簞","['tan L']"
"箕","['kuy L']"
"匕","['pi R']"
"匙","['si L']"
"筴","['hyep H']"
"筯","['tye R']"
"砑","['Ga R']"
"碾","['nyen R']"
"磨","['ma R']"
"磑","['Guy R']"
"碓","['toy L']"
"臼","['kwu H']"
"砧","['thim L']"
"杵","['cye R']"
"筵","['Gyen L']"
"席","['syek H']"
"茵","['Gin L']"
"薦","['chyen R']"
"兀","['Gwol L']"
"簟","['tyem R']"
"枕","['chim R']"
"褥","['zyok H']"
"秤","['ching R']"
"衡","['hyeng L']"
"錘","['thyu H']"
"權","['kwen L']"
"升","['sung L']"
"斗","['twu H']"
"槩","['kay R']"
"斛","['kwok H']"
"糨","['kang H']"
"糊","['hwo L']"
"膠","['kyo L']"
"蠟","['lap H']"
"𣑿","['pwu L']"
"柲","['phil L']"
"柄","['pyeng R']"
"𣠽","['pha L']"
"樽","['cwun L']"
"罍","['lwoy L']"
"鐺","['thoyng']"
"銚","['tyo R']"
"壷","['hwo L']"
"甁","['pyeng L']"
"勺","['cyak H']"
"斚","['ka R']"
"壜","['tam L']"
"罐","['kwan R']"
"盆","['pwun L']"
"盎","['Gang R']"
"篘","['chwu L']"
"帘","['lyem L']"
"槽","['cwo L']"
"榨","['ca R']"
"巵","['chi L']"
"匜","['Gi L']"
"甌","['kwu L']"
"盞","['can H']"
"甖","['Gyeng L']"
"缸","['hang L']"
"瓮","['Gwong R']"
"𤭛","['kang L']"
"杯","['poy L']"
"鍾","['cyong L']"
"觥","['kwoyng L']"
"觴","['syang L']"
"籃","['lam L']"
"簍","['lwu L']"
"筥","['key R']"
"筐","['kwang L']"
"笊","['cwo R']"
"籬","['li L']"
"𥬯","['kwo R']"
"䇭","['lwo H']"
"篋","['hyep H']"
"笥","['so R']"
"籠","['lwong R']"
"箱","['syang L']"
"傘","['san R']"
"蓋","['kay R']"
"屏","['pyeng L']"
"扆","['Guy L']"
"袋","['toy R']"
"帍","['hwo R']"
"囊","['nang L']"
"橐","['thak H']"
"帳","['tyang R']"
"㡡","['tyu L']"
"幃","['Gwuy L']"
"幔","['man R']"
"帷","['Gyu L']"
"幌","['hwang R']"
"幄","['Gak H']"
"幕","['mak H']"
"𥮕","['hang R']"
"架","['ka R']"
"楎","['hwuy L']"
"椸","['Gi L']"
"幢","['tang H']"
"旛","['pen L']"
"簾","['lyem L']"
"箔","['pak H']"
"鏡","['kyeng R']"
"鑑","['kam L']"
"奩","['lyem L']"
"匣","['kap H']"
"鑽","['chan L']"
"鑷","['nyep H']"
"錐","['chyo L']"
"觿","['hyu L']"
"鍼","['chim L']"
"熨","['Gwul H']"
"剪","['cyen L']"
"尺","['chyek H']"
"刷","['swa R']"
"櫛","['cul H']"
"梳","['swo L']"
"篦","['pi L']"
"繩","['sung L']"
"索","['sak H']"
"紘","['kwoyng L']"
"綱","['kang L']"
"板","['phan H']"
"漆","['chil H']"
"礬","['pen L']"
"黐","['chi L']"
"桎","['til H']"
"梏","['kwok H']"
"枷","['ka L']"
"杻","['lyu R']"
"釱","['thay R']"
"鋜","['chak H']"
"鐐","['lyo R']"
"笞","['thoy L']"
"燈","['tung L']"
"燭","['chyok H']"
"檠","['kyeng L']"
"篝","['kwu L']"
"煤","['moy L']"
"炭","['than R']"
"炬","['ke R']"
"爐","['lwo L']"
"蓑","['sa L']"
"笠","['lip H']"
"篊","['hwong L']"
"筧","['hyen R']"
"桔","['kil H']"
"橰","['kwo L']"
"轆","['lwok L']"
"轤","['lwo L']"
"椹","['sim L']"
"櫍","['cil H']"
"扇","['syen R']"
"箑","['sap']"
"鈹","['phi L']"
"鉤","['kwu L']"
"䥷","['chal H']"
"鑹","['chan R']"
"鎌","['lyem L']"
"釤","['sam L']"
"鍥","['kyel H']"
"銍","['til R']"
"鑢","['lye R']"
"鐋","['thang Rs']"
"銼","['cha L']"
"鏟","['san R']"
"鉗","['kyem L']"
"鎚","['thwoy L']"
"坩","['kam L']"
"堝","['kwa L']"
"鎖","['swa R']"
"鍉","['si L']"
"鍵","['ken R']"
"鑰","['Gyak H']"
"鉋","['phwo L']"
"䈜","['chim L']"
"杇","['Gwo L']"
"鏝","['man L']"
"錛","['pwun L']"
"鋸","['ke R']"
"斧","['pwu R']"
"鑿","['chak H']"
"鋤","['se L']"
"钁","['hwak H']"
"鎡","['co L']"
"錤","['kuy L']"
"鐃","['Gyo L']"
"鈸","['pal H']"
"鈴","['lyeng L']"
"鐸","['thak H']"
"網","['mang H']"
"罟","['kwo R']"
"罾","['cung R']"
"罝","['cye L']"
"簄","['hwo R']"
"罶","['lyu H']"
"笱","['kwu R']"
"籗","['kwak H']"
"耒","['loy R']"
"耜","['so R']"
"鏵","['hwa L']"
"犂","['lyey L']"
"彈","['than L']"
"矰","['cung L']"
"弋","['Gik H']"
"繳","['cyak H']"
"鍫","['chyo L']"
"鍤","['sap H']"
"杷","['pha L']"
"杴","['hum L']"
"耞","['ka L']"
"耬","['lwu R']"
"磟","['lwok H']"
"碡","['twok H']"
"綜","['cwong R']"
"緯","['Gwuy H']"
"機","['kuy L']"
"榺","['sung R']"
"帵","['Gwan L']"
"繃","['pung L']"
"匹","['phil H']"
"幅","['pwok L']"
"幅","['pwu L']"
"梭","['sa L']"
"簆","['kwu R']"
"筬","['syeng L']"
"榬","['Gwen L']"
"籰","['Gyak H']"
"杼","['tye R']"
"柚","['thyuk H']"
"篲","['syu R']"
"箒","['chyu R']"
"刀","['two L']"
"鞘","['syo L']"
"瓦","['Gwa R']"
"甎","['cyen L']"
"瓴","['lyeng L']"
"甓","['pyek H']"
"棍","['kwon R']"
"棒","['pang R']"
"椎","['thwoy L']"
"楔","['syel H']"
"樁","['cwang L']"
"橛","['kwel L']"
"椓","['thak H']"
"杙","['Gik H']"
"筲","['syo L']"
"桶","['thwong H']"
"綆","['kyeng R']"
"繘","['hyul H']"
"瓷","['co L']"
"缶","['pwu R']"
"坯","['poy L']"
"墼","['kyek H']"
"𣖄","['chyo L']"
"杓","['cyak L']"
"瓢","['phyo L']"
"盠","['lyey L']"
"棊","['kuy L']"
"弈","['hyek H']"
"骰","['thwu L']"
"枰","['phyeng L']"
"丈","['tyang L']"
"枴","['kway L']"
"笻","['kwong L']"
"杖","['tyang R']"
"碫","['tan L']"
"礪","['lyey R']"
"砥","['ci H']"
"硎","['hyeng L']"
"鞦","['chyu L']"
"韆","['chyen L']"
"毬","['kwu L']"
"𨪅","['kyen R']"
"盂","['Gwu L']"
"鉢","['pal H']"
"塔","['thap H']"
"龕","['ham L']"
"廐","['kwu R']"
"櫪","['lyek H']"
"枊","['Gang L']"
"篼","['two L']"
"蕢","['kwey R']"
"畚","['pwon H']"
"篚","['pi R']"
"函","['ham L']"
"飯","['pan R']"
"食","['sik H']"
"饔","['Gwong L']"
"飱","['swon L']"
"餚","['hyo H']"
"饌","['chan R']"
"饍","['syen H']"
"饈","['syu L']"
"餛","['hwon L']"
"飩","['twun L']"
"餕","['san L']"
"饀","['ham R']"
"餺","['pak H']"
"飥","['thak H']"
"饅","['man L']"
"䬦","['thwu L']"
"餠","['pyeng R']"
"餌","['zi R']"
"餈","['co L']"
"餻","['kwo L']"
"糜","['mi L']"
"粥","['cyuk H']"
"饘","['cyen L']"
"漿","['cyang L']"
"糙","['cwo R']"
"糲","['lal R']"
"米","['mi R']"
"粒","['lip H']"
"麨","['chyo H']"
"糗","['kwu R']"
"糇","['hwu L']"
"粮","['lyang L']"
"醋","['chwo R']"
"醯","['hyey L']"
"醢","['hoy R']"
"鮓","['ca R']"
"膾","['hwoy R']"
"炙","['cyek H']"
"羹","['koyngs L']"
"湯","['thang L']"
"虀","['cyey']"
"豉","['si H']"
"油","['Gyu L']"
"醬","['cyang R']"
"糤","['san R']"
"餳","['syeng L']"
"飴","['Gi L']"
"糖","['tang L']"
"酒","['cyu L']"
"醴","['lyey H']"
"醱","['pal H']"
"醅","['poy L']"
"醪","['lyo L']"
"酶","['moy L']"
"酵","['kyo H']"
"麴","['kwuk H']"
"湩","['twong R']"
"酪","['lak H']"
"酥","['swo L']"
"蜜","['mil H']"
"鮝","['syang H']"
"脯","['phwo H']"
"腊","['syek H']"
"肉","['zyuk H']"
"鹻","['kyem R']"
"鹺","['ca L']"
"鹽","['Gyem L']"
"滷","['lwo H']"
"皶","['ca L']"
"葅","['cwo L']"
"糝","['cham R']"
"𦞦","['hwak H']"
"麵","['myen H']"
"麩","['pwu L']"
"䴲","['mal L']"
"糏","['syel H']"
"茶","['ta L']"
"茗","['myeng R']"
"糟","['cwo L']"
"粕","['pak H']"
"冠","['kwan L']"
"冕","['myen R']"
"幞","['pwok H']"
"弁","['pyen R']"
"巾","['ken L']"
"帽","['mwo R']"
"㠹","['kay R']"
"幘","['cyek H']"
"袍","['phwo L']"
"裘","['kwu L']"
"衫","['sam L']"
"裳","['syang L']"
"靴","['hwa L']"
"鞋","['hyey L']"
"履","['li L']"
"舃","['syek H']"
"裙","['kwun L']"
"襇","['kan R']"
"裩","['kwun L']"
"袴","['kwo R']"
"韈","['mal H']"
"䩺","['Gwong L']"
"襞","['pyek H']"
"襀","['cyek H']"
"袪","['ke L']"
"袂","['myey R']"
"䘸","['Goyk L']"
"袖","['syu R']"
"𧘐","['thak H']"
"襠","['tang L']"
"楎","['hwen R']"
"屐","['kuk H']"
"帕","['pha R']"
"帨","['syey R']"
"衾","['kum L']"
"被","['phi R']"
"紳","['sin L']"
"帶","['toy R']"
"銙","['kwa R']"
"鞓","['tyeng L']"
"笏","['hwol H']"
"佩","['phay R']"
"縧","['thyo L']"
"繸","['syu R']"
"紐","['nyu R']"
"𫃜","['kwu H']"
"緌","['zyu L']"
"纓","['Gyeng L']"
"袈","['ka L']"
"裟","['sa L']"
"衲","['nap H']"
"襖","['Gwo R']"
"襁","['kang R']"
"褓","['pwo H']"
"褯","['cya R']"
"䙀","['pung L']"
"領","['lyeng H']"
"襋","['kuk H']"
"襟","['kum L']"
"袵","['zim H']"
"裌","['hyep H']"
"禪","['tan L']"
"縕","['Gwon R']"
"襺","['kyen R']"
"絲","['so L']"
"線","['syen R']"
"縷","['lwu L']"
"纑","['lwo L']"
"纊","['kwang R']"
"絮","['sye R']"
"緜","['myen L']"
"繭","['kyen R']"
"簪","['com L']"
"笄","['kyey L']"
"鎞","['pi L']"
"釵","['cha L']"
"珥","['zi R']"
"璫","['tang L']"
"釧","['chyen R']"
"環","['hwan L']"
"脂","['ci L']"
"膏","['kwo L']"
"𧹢","['Gyen L']"
"𧹛","['ci L']"
"髲","['phi L']"
"髢","['thyey L']"
"髻","['kyey H']"
"鬟","['hwan L']"
"舟","['cyu L']"
"船","['syen L']"
"艇","['tyeng R']"
"艘","['swu H']"
"帆","['pem L']"
"篷","['pwong L']"
"桅","['Gwuy L']"
"檣","['cyang L']"
"纜","['lam R']"
"碇","['tyeng H']"
"艣","['nwo H']"
"舵","['tha R']"
"𥱼","['phay L']"
"筏","['pel H']"
"舫","['pang L']"
"航","['hang L']"
"篙","['kwo L']"
"戽","['hwo R']"
"舥","['pha L']"
"舠","['two L']"
"橈","['zyo L']"
"楫","['cup R']"
"棹","['two R']"
"槳","['cyang L']"
"舷","['hyen L']"
"艄","['chyo L']"
"舳","['thyuk H']"
"艫","['lwo L']"
"艦","['ham R']"
"舶","['poyk H']"
"艚","['cwo L']"
"艑","['phyen R']"
"車","['ke L']"
"輛","['lyang R']"
"輜","['chuy L']"
"輧","['pyeng L']"
"轎","['kyo R']"
"輿","['Gye L']"
"輅","['lwo H']"
"輦","['lyen H']"
"轓","['pen L']"
"轅","['Gwen L']"
"軛","['Goyk H']"
"輈","['tyu L']"
"輨","['kwan H']"
"轄","['hal H']"
"軸","['thyuk H']"
"轂","['kwok H']"
"軺","['Gyo H']"
"𨏃","['kang L']"
"輪","['lyun L']"
"輔","['pwo R']"
"輞","['mang H']"
"𫐀","['ke L']"
"轑","['lyo R']"
"輻","['pwok H']"
"鞍","['Gan L']"
"鞽","['kyo L']"
"𫖊","['tyem H']"
"珂","['ka L']"
"韂","['chyem L']"
"靾","['thyey H']"
"鞧","['chyu L']"
"𩌬","['cang L']"
"鞚","['kwong R']"
"勒","['luk L']"
"鞿","['kuy L']"
"䪊","['lwong L']"
"轡","['pi R']"
"靶","['pha R']"
"靮","['tyek L']"
"韁","['kang L']"
"銜","['ham L']"
"鑣","['phyo L']"
"鐙","['tung R']"
"䩢","['cyel L']"
"鞭","['phyen L']"
"檛","['cwa L']"
"箠","['chywey R']"
"策","['choyk H']"
"干","['kan L']"
"櫓","['lwo R']"
"盾","['syun R']"
"瞂","['pel H']"
"戈","['kwa L']"
"矛","['mwo L']"
"劒","['kem R']"
"戟","['kuk H']"
"槍","['chang L']"
"槊","['sak H']"
"鋒","['pwong L']"
"鍔","['Gak H']"
"䤴","['hap L']"
"鋏","['hyep H']"
"鉞","['Gwel H']"
"鏚","['chyek H']"
"銃","['chyung L']"
"砲","['phwo R']"
"鼓","['kwo H']"
"鼙","['pi L']"
"甲","['kap H']"
"鎧","['kay R']"
"冑","['tyu R']"
"鍪","['mwo L']"
"弓","['kwung L']"
"弧","['hwo L']"
"弩","['nwo R']"
"弦","['hyen L']"
"弰","['syo L']"
"弭","['mi R']"
"弝","['pha R']"
"彄","['kwu L']"
"𢎹","['kyel H']"
"韘","['syep H']"
"𤿧","['han R']"
"韝","['kwu L']"
"𢁿","['cyeng L']"
"𢁕","['tyek H']"
"堋","['pung L']"
"帿","['hwu L']"
"翎","['lyeng L']"
"𩪛","['pak L']"
"髇","['hwo R']"
"骲","['pak H']"
"鏃","['cwok H']"
"鏑","['tyek H']"
"鈚","['phi L']"
"鍭","['hwu L']"
"箭","['cyen R']"
"矢","['si R']"
"筈","['kwal H']"
"笴","['kan H']"
"鉦","['cyeng L']"
"鑼","['la L']"
"旗","['kuy L']"
"纛","['twok H']"
"櫜","['kwo L']"
"鞬","['ken L']"
"韣","['twok L']"
"韔","['thyang R']"
"𩊶","['pwo R']"
"靫","['cha L']"
"箶","['hwo L']"
"簏","['lwok L']"
"堊","['Gak H']"
"素","['swo H']"
"粉","['pwun H']"
"白","['poyk H']"
"𪑩","['tyen H']"
"青","['chyeng L']"
"黛","['toy R']"
"黑","['huk H']"
"玄","['hyen L']"
"皂","['cwo R']"
"丹","['tan L']"
"雘","['hwak L']"
"彤","['twong L']"
"赭","['cya R']"
"赬","['tyeng L']"
"赤","['cyek H']"
"朱","['cyu L']"
"緋","['poy L']"
"紅","['hwong L']"
"絳","['kang R']"
"黃","['hwang L']"
"紫","['co R']"
"綠","['lwok H']"
"碧","['pyek H']"
"紗","['sa L']"
"羅","['la L']"
"綾","['lung L']"
"叚","['tan R']"
"鎌","['kyem L']"
"絁","['si L']"
"布","['phwo H']"
"帛","['poyk H']"
"氁","['mwo L']"
"𣮷","['kal H']"
"氊","['cyen L']"
"毯","['tam R']"
"綈","['tyey L']"
"繒","['cung L']"
"絺","['thi L']"
"綌","['kyek H']"
"紈","['hwan L']"
"綺","['kuy R']"
"綃","['chyo L']"
"絹","['kyen R']"
"錦","['kum R']"
"紬","['tyu L']"
"縐","['chwu L']"
"縠","['kwok H']"
"寶","['pwo R']"
"貝","['phay R']"
"錢","['cyen L']"
"鈔","['chyo L']"
"金","['kum L']"
"銀","['Gun L']"
"珠","['cyu L']"
"玉","['Gwok H']"
"銅","['twong L']"
"鐵","['thyel H']"
"鍮","['tyu L']"
"鉐","['syek H']"
"汞","['hwong R']"
"鈆","['Gyen L']"
"鑞","['lap H']"
"錫","['syek H']"
"瓊","['kyeng H']"
"瑤","['Gyo L']"
"瓔","['Gyeng L']"
"珞","['lak H']"
"珍","['tin L']"
"玭","['pyen L']"
"璣","['kuy L']"
"璧","['pyek H']"
"珊","['san L']"
"瑚","['hwo L']"
"瑪","['ma R']"
"瑙","['nwo R']"
"琉","['lyu L']"
"璃","['li L']"
"琥","['hwo R']"
"珀","['poyk L']"
"琵","['pi L']"
"琶","['pha L']"
"鐘","['cyong L']"
"磬","['kyeG R']"
"琴","['kum L']"
"瑟","['sul H']"
"笳","['ka L']"
"拍","['poyk H']"
"笙","['soyng L']"
"簫","['syo L']"
"管","['kwan H']"
"籥","['Gyak L']"
"觱","['phil H']"
"篥","['lyul H']"
"箏","['coyng L']"
"笛","['tyek H']"
"疾","['cil H']"
"病","['pyeng R']"
"疼","['twong L']"
"痛","['thwong R']"
"吐","['thwo H']"
"瀉","['sya R']"
"嘔","['kwu R']"
"𠸺","['Gyek H']"
"疲","['phi L']"
"憊","['puy R']"
"憔","['chyo L']"
"悴","['chᆐ H']"
"羸","['li L']"
"瘦","['swu H']"
"癯","['kwu L']"
"瘠","['chyek H']"
"癬","['syen R']"
"癜","['tyen R']"
"疥","['kay L']"
"癩","['lwoy R']"
"疱","['phwo L']"
"痘","['twu H']"
"瘰","['la L']"
"癧","['lyek H']"
"蠱","['kwo H']"
"脹","['thyang R']"
"疔","['tyeng L']"
"疸","['tan R']"
"哮","['hyo R']"
"喘","['chyen R']"
"咳","['hoy R']"
"嗽","['swu R']"
"癮","['Gun H']"
"𤺋","['tin H']"
"癤","['cyel H']"
"疿","['pul H']"
"疣","['Gwu L']"
"贅","['chywey R']"
"癭","['Gyeng R']"
"瘤","['lyu R']"
"跎","['tha L']"
"瘸","['ka L']"
"瘖","['Gam L']"
"瘂","['Ga R']"
"㿗","['thwoy L']"
"疝","['san L']"
"瘻","['lwu R']"
"痔","['thi R']"
"癎","['kan R']"
"痓","['til H']"
"狂","['kwang H']"
"癲","['tyen L']"
"疶","['syel H']"
"痢","['li R']"
"聤","['tyeng L']"
"䏄","['tyey R']"
"癰","['Gwong R']"
"疽","['cye L']"
"瘡","['chang L']"
"趼","['kyen R']"
"痎","['hoy L']"
"瘧","['hak H']"
"痁","['cyem L']"
"癨","['hwak H']"
"瘟","['Gwon L']"
"疫","['Gyek H']"
"痰","['tam L']"
"瘚","['kwel H']"
"黶","['Gyem R']"
"痣","['ci H']"
"皸","['kwun L']"
"瘃","['thak H']"
"腫","['cyong R']"
"脪","['hun R']"
"痂","['ka L']"
"𤹡","['cha L']"
"瘢","['pan L']"
"痕","['hun L']"
"疤","['pha L']"
"疵","['co L']"
"崩","['pung']"
"薨","['hwung L']"
"𣨛","['cwol H']"
"死","['so R']"
"魂","['hwon L']"
"魄","['poyk H']"
"靈","['lyeng L']"
"輀","['zi L']"
"櫬","['chin R']"
"棺","['kwan L']"
"柩","['kwu R']"
"槨","['kwak H']"
"殮","['lyem R']"
"屍","['si L']"
"殯","['pin R']"
"葬","['cang R']"
"窀","['twun L']"
"穸","['syek H']"
"碑","['pi L']"
"碣","['kal H']"
"墳","['pwun L']"
"塚","['thyong H']"
"墓","['myo R']"
"壙","['kwang L']"
"混","['hwon R']"
"沌","['twon R']"
"開","['koy L']"
"闢","['pyek L']"
"淸","['chyeng L']"
"濁","['thak H']"
"位","['Gwuy H']"
"奠","['tyen R']"
"造","['cwo R']"
"化","['hwa R']"
"斡","['Gal H']"
"旋","['syen R']"
"光","['kwang L']"
"景","['kyeng H']"
"流","['lyu L']"
"轉","['tyen R']"
"旻","['min L']"
"昊","['hwo H']"
"穹","['kwung L']"
"窿","['lyung L']"
"暾","['twon L']"
"旭","['Gwuk H']"
"暈","['Gwun H']"
"明","['myeng L']"
"照","['cyo L']"
"曜","['Gyo H']"
"暉","['hwuy L']"
"暎","['Gyeng R']"
"暪","['man R']"
"昧","['moy R']"
"暗","['Gam R']"
"暝","['myeng L']"
"暄","['hwen L']"
"暖","['nan R']"
"炎","['Gyem L']"
"燠","['Gwuk H']"
"凉","['lyang L']"
"冷","['loyng H']"
"凍","['twong R']"
"冸","['pan R']"
"晴","['chyeng L']"
"霽","['cyey R']"
"霾","['moy L']"
"曀","['Gyey R']"
"昕","['hun L']"
"晡","['phwo L']"
"昃","['choyk H']"
"旰","['han H']"
"古","['kwo R']"
"今","['kum L']"
"翌","['Gik H']"
"昨","['cak L']"
"夙","['syuk H']"
"晏","['Gan R']"
"曩","['nang R']"
"昔","['syek H']"
"人","['zin L']"
"物","['mul H']"
"受","['syu H']"
"賦","['pwu R']"
"品","['phwum R']"
"彙","['hwuy H']"
"滋","['co L']"
"殖","['sik H']"
"羽","['Gwu H']"
"毛","['mwo L']"
"鱗","['lin L']"
"介","['kay R']"
"飛","['pi L']"
"潛","['com L']"
"動","['twong R']"
"植","['sik H']"
"蜫","['kwon L']"
"蟲","['thyung L']"
"禽","['kum L']"
"鳥","['tyo H']"
"魚","['Ge L']"
"獸","['syu H']"
"禾","['hwa L']"
"穀","['kwok H']"
"菓","['kwa R']"
"蓏","['la R']"
"菜","['choy R']"
"蔬","['swo L']"
"草","['chwo H']"
"卉","['hwey R']"
"樹","['syu H']"
"木","['mwok R']"
"根","['kun L']"
"荄","['hoy L']"
"株","['tyu L']"
"幹","['kan R']"
"槎","['sa L']"
"枿","['Gal L']"
"萌","['moyng L']"
"芽","['Ga L']"
"條","['tyo L']"
"柯","['ka L']"
"枝","['ci L']"
"葉","['Gyep H']"
"花","['hwa L']"
"蘂","['Gyey R']"
"英","['Gyeng L']"
"葩","['pha L']"
"叢","['chwong L']"
"苞","['phwo L']"
"莖","['koyng L']"
"蔕","['thyey H']"
"藤","['tung L']"
"虆","['lyu L']"
"秧","['Gang L']"
"苗","['myo L']"
"榮","['Gyeng L']"
"華","['hwa L']"
"枯","['kwo L']"
"槁","['kwo L']"
"柴","['suy L']"
"薪","['sin L']"
"蒭","['chwu L']"
"蕘","['Gyo L']"
"稈","['kan R']"
"稭","['koy X']"
"穎","['Gyeng L']"
"穗","['syu L']"
