No,Group,Name,Div,Baxter,B (ASCII),Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun,한국음 (종합),일본음(吳),일본음(漢),만다린 (종합),幇組,見組 등,精組,端組,來,娘,知組,莊組,章組
73,山攝 an,山開,2,ɛn,ean,ăn,æn,æn,əɨn,ˠɛn,ɛn,ᵚæn,안,en,an,"an,ian",an,ian,,,an,,an,an,
74,山攝 an,山合,2,wɛn,wean,wăn,uæn,wæn,wəɨn,ˠuɛn,uɛn,ʷᵚæn,완,wen?,wan?,"uan,an",,uan,,,ㅁㄹ,,ㅁㄹ,ㅁㄹ,
75,山攝 an,鎋開,2,ɛt,eat,at̚,æt̚,æt̚,əɨt̚,ˠɛt̚,ɛt̚,ᵚæt̚,알,"at, et","at, et","a,ia",a,ia,,,,ㅁㄹ,a,a,
76,山攝 an,鎋合,2,wɛt,weat,wat̚,uæt̚,wæt̚,wəɨt̚,ˠuɛt̚,uɛt̚,ʷᵚæt̚,왈,wat?,"wat?, wet?","ua,a",,ua,,,,,ㅁㄹ,ㅁㄹ,
77,山攝 an,仙三開,3,jien,jien,i̯ɛn,jæn,ĭɛn,ian,iᴇn,iɛn,iɛn,연,en,en,"ian,an",ian,ian,ian,,ian,ㅁㄹ,an,an,an
78,山攝 an,仙三合,3,jwien,jwien,i̯wɛn,juæn,ĭwɛn,wian,iuᴇn,iuɛn,ʷiɛn,연,wen,en,"uan,üan,ian",,üan,üan,,uan,,uan,uan,uan
79,山攝 an,仙重鈕三開,3,jen,jen,i̯ɛn,iæn,ĭɛn,ian,ˠiᴇn,jɛn,ᵚiɛn,언(연),en?,en?,"ian,an",ian,ian,ian,,ian,ㅁㄹ,an,an,an
80,山攝 an,仙重鈕三合,3,jwen,jwen,i̯wɛn,iuæn,ĭwɛn,wian,ˠiuᴇn,juɛn,ʷᵚiɛn,원,wen,wen,"uan,üan,ian",,üan,üan,,uan,,uan,uan,uan
81,山攝 an,薛三開,3,jiet,jiet,i̯ɛt̚,jæt̚,ĭɛt̚,iat̚,iᴇt̚,iɛt̚,iɛt̚,열,et,etu,"ie,e",ie,ie,ie,,ie,,e,e,e
82,山攝 an,薛三合,3,jwiet,jwiet,i̯wɛt̚,juæt̚,ĭuɛt̚,wiat̚,iuᴇt̚,iuɛt̚,ʷiɛt̚,열,wet,wet,"üe,uo,ie",,üe,üe,,üe,uo,uo,uo,uo
83,山攝 an,薛重鈕三開,3,jet,jet,i̯ɛt̚,iæt̚,ĭɛt̚,iat̚,ˠiᴇt̚,jɛt̚,ᵚiɛt̚,얼(열),et,et,"ie,e",ie,ie,ie,,ie,,e,e,e
84,山攝 an,薛重鈕三合,3,jwet,jwet,i̯wɛt̚,iuæt̚,ĭuɛt̚,wiat̚,ˠiuᴇt̚,juɛt̚,ʷᵚiet̚,월,wet?,wet?,"üe,uo,ie",,üe,üe,,üe,uo,uo,uo,uo
85,山攝 an,先開,4,en,en,ien,ɛn,ien,ɛn,en,en,en,연,en,en,"ian,an",ian,ian,ian,ian,ian,,,,
86,山攝 an,先合,4,wen,wen,iwen,uɛn,iwen,wɛn,wen,uen,ʷen,연,wen,wen,"uan,üan,ian",,üan,,,,,,,
87,山攝 an,屑開,4,et,et,iet̚,ɛt̚,iet̚,ɛt̚,et̚,et̚,et̚,열,et,et,"ie,e",ie,ie,ie,ie,ie,,,,
88,山攝 an,屑合,4,wet,wet,iwet̚,uɛt̚,iwet̚,wɛt̚,wet̚,uet̚,ʷet̚,열,wet,wet,"üe,uo,ie",,üe,,,,,,,
89,效攝 au,豪,1,aw,aw,ɑu,ɑu,ɑu,aw,ɑu,ɑu,ɑu,오,"au, ou","au, ou",ao,ao,ao,ao,ao,ao,,,,
90,效攝 au,肴,2,æw,aew,au,au,au,aɨw,ˠau,au,ᵚau,"오,요","eu, au",au,"ao,iao",ao,iao,,,ao,ao,ao,iao,
91,效攝 au,宵三/宵重鈕四,3,jiew,jiew,i̯ɛu,jæu,ĭɛu,iaw,iᴇu,iɛu,iɛu,요,eu,eu,"iao,ao",iao,iao,iao,,iao,,ao,,ao
92,效攝 au,宵重鈕三,3,jew,jew,i̯ɛu,iæu,ĭɛu,iaw,ˠiᴇu,jɛu,ᵚiɛu,요,eu,eu,"iao,ao",iao,iao,iao,,iao,,ao,,ao
93,效攝 au,蕭,4,ew,ew,ieu,eu,ieu,ɛw,eu,eu,eu,요,eu,eu,"iao,ao",,iao,iao,iao,iao,,,,
94,果攝 ar,歌,1,a,a,ɑ,ɑ,ɑ,a,ɑ,ɑ,ɑ,아,a,a,"uo,e,o",,e,uo,uo,uo,,,,
95,果攝 ar,戈一合,1,wa,wa,uɑ,uɑ,uɑ,wa,uɑ,uɑ,uɑ,와(아),"a, we","a, wa","uo,o",o,e,uo,uo,uo,,,,
96,果攝 ar,戈三開,3,ja,ja,i̯ɑ,iɑ,ǐɑ,ɨa,ɨɑ,iɑ,iɑ,아,?,?,"ie,e",,ie,,,,,,,
97,果攝 ar,戈三合,3,jwa,jwa,i̯wɑ,iuɑ,ĭuɑ,ua,ɨuɑ,iuɑ,ʷiɑ,와,?,?,"üe,uo,ie",,üe,,,,,,,
98,假攝 a,麻二開,2,æ,ae,a,a,a,aɨ,ˠa,a,ᵚa,아,"a, e, o",a,"a,ia",a,ia,,,,a,a,a,
99,假攝 a,麻二合,2,wæ,wae,wa,ua,wa,waɨ,ˠua,ua,ʷᵚa,와,"wa, we",wa,"ua,a",,ua,,,,,ua?,ua?,
100,假攝 a,麻三開,3,jæ,jae,i̯a,ia,ĭa,ia,ia,ia,ia,야,ya,ya,"ie,e",,,ie,,,,,,e
101,宕攝 ang,唐開,1,ang,ang,ɑŋ,ɑŋ,ɑŋ,aŋ,ɑŋ,ɑŋ,ɑŋ,앙,au,au,ang,ang,ang,ang,ang,ang,,,,
102,宕攝 ang,唐合,1,wang,wang,wɑŋ,uɑŋ,uɑŋ,waŋ,wɑŋ,uɑŋ,ʷɑŋ,왕,wau,wau,"uang,ang",,uang,,,,,,,
103,宕攝 ang,鐸開,1,ak,ak,ɑk̚,ɑk̚,ɑk̚,ak̚,ɑk̚,ɑk̚,ɑk̚,악,aku,aku,"uo,e,o",o,e,uo,uo,uo,,,,
104,宕攝 ang,鐸合,1,wak,wak,wɑk̚,uɑk̚,uɑk̚,wak̚,wɑk̚,uɑk̚,ʷɑk̚,왁,waku,waku,"uo,o",,uo,,,,,,,
105,宕攝 ang,陽開,3,jang,jang,i̯aŋ,iɑŋ,ĭaŋ,ɨaŋ,ɨɐŋ,iaŋ,iɐŋ,양(앙),"au, yau","au, yau","iang,ang,uang",,iang,iang,,iang,iang,uang,ang,ang
